Frequency Rank	Word	IPA	Meaning	Part of Speech	Lemma	Example	Example IPA	Example Meaning	Source	Source Rank	Labels	Notes
11	una	/ˈuna/	a; an (feminine)	article	uno	Ella lleva una chaqueta azul hoy.	[ˈeʝa ˈʝeβa ˈuna tʃaˈketa aˈsul oj]	She is wearing a blue jacket today.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 15; OpenSLR21 15	core; function word; article; feminine	Feminine singular indefinite article.
12	los	/los/	the (masculine plural)	article	el	Cerramos los ojos durante un minuto.	[seˈramos los ˈoxos ðuˈɾante un miˈnuto]	We close our eyes for one minute.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 16; OpenSLR21 8	core; function word; article; masculine; plural	Masculine plural definite article.
13	se	/se/	oneself; each other; reflexive marker	pronoun	se	Mi hermana se levanta muy temprano.	[mi eɾˈmana se leˈβanta muj temˈpɾano]	My sister gets up very early.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 17; OpenSLR21 14	core; function word; pronoun; reflexive	Used in reflexive, reciprocal, impersonal, and passive constructions.
14	con	/kon/	with	preposition	con	Tomo té con leche cada mañana.	[ˈtomo te kon ˈletʃe ˈkaða maˈɲana]	I drink tea with milk every morning.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP 3; OpenSubtitles2018 19; OpenSLR21 13	core; function word; preposition	Marks accompaniment or an instrument.
15	para	/ˈpaɾa/	for; in order to	preposition	para	Este regalo es para mi madre.	[ˈeste reˈɣalo es ˈpaɾa mi ˈmaðɾe]	This gift is for my mother.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 20; OpenSLR21 16	core; function word; preposition	Often marks purpose, destination, recipient, or deadline.
16	me	/me/	me; to me	pronoun	me	La música me ayuda a estudiar.	[la ˈmusika me aˈʝuða a estuˈðjaɾ]	Music helps me study.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 14; OpenSLR21 281	core; function word; pronoun; object	First-person singular unstressed object pronoun.
17	te	/te/	you; to you	pronoun	te	Mañana te llamo después del trabajo.	[maˈɲana te ˈʝamo ðesˈpwes ðel tɾaˈβaxo]	I will call you tomorrow after work.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 18; OpenSLR21 3548	core; function word; pronoun; object; informal	Informal singular unstressed object pronoun.
18	lo	/lo/	it; him	pronoun	lo	Este ejercicio lo entiendo bastante bien.	[ˈeste exeɾˈsisjo lo enˈtjendo βasˈtante βjen]	I understand this exercise quite well.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 10; OpenSLR21 28	core; function word; pronoun; direct object	Masculine singular or neuter direct-object pronoun.
19	las	/las/	the (feminine plural)	article	el	Dejamos las ventanas abiertas por la noche.	[deˈxamos las βenˈtanas aˈβjeɾtas poɾ la ˈnotʃe]	We leave the windows open at night.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 29; OpenSLR21 12	core; function word; article; feminine; plural	Feminine plural definite article.
20	mi	/mi/	my	determiner	mi	Hoy limpio mi habitación después de comer.	[oj ˈlimpjo mi aβitaˈsjon desˈpwes ðe koˈmeɾ]	Today I clean my room after eating.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 22; OpenSLR21 458	core; function word; determiner; possessive; accent contrast	Unaccented possessive; contrast pronoun mí.
21	tu	/tu/	your (informal singular)	determiner	tu	¿Dónde está tu teléfono ahora?	[ˈdonde esˈta tu teˈlefono aˈoɾa]	Where is your phone now?	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 34; OpenSLR21 6428	core; function word; determiner; possessive; accent contrast	Unaccented possessive; contrast pronoun tú.
22	su	/su/	his; her; your; their	determiner	su	El niño busca su pelota roja.	[el ˈniɲo ˈβuska su peˈlota ˈroxa]	The boy is looking for his red ball.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 28; OpenSLR21 18	core; function word; determiner; possessive	Possessor is identified from context.
23	yo	/ʝo/	I	pronoun	yo	En casa yo preparo la cena.	[eŋ ˈkasa ʝo pɾeˈpaɾo la ˈsena]	At home, I prepare dinner.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 30; OpenSLR21 686	core; function word; pronoun; subject	Subject pronouns are often omitted when the verb is clear.
24	tú	/tu/	you (informal singular)	pronoun	tú	¿Puedes venir tú un poco antes?	[ˈpweðes βeˈniɾ tu um ˈpoko ˈantes]	Can you come a little earlier?	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 56; OpenSLR21 11106	core; function word; pronoun; subject; informal; accent contrast	Accented subject pronoun; contrast possessive tu.
25	él	/el/	he	pronoun	él	Mañana él empieza un trabajo nuevo.	[maˈɲana el emˈpjesa un tɾaˈβaxo ˈnweβo]	Tomorrow he starts a new job.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 52; OpenSLR21 482	core; function word; pronoun; subject; accent contrast	Accented pronoun; contrast article el.
26	ella	/ˈeʝa/	she	pronoun	ella	Creo que ella vive cerca.	[ˈkɾeo ke ˈeʝa ˈβiβe ˈseɾka]	I think she lives nearby.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 66; OpenSLR21 1146	core; function word; pronoun; subject	Third-person feminine singular subject pronoun.
27	nos	/nos/	us; to us	pronoun	nos	El profesor nos explica la respuesta.	[el pɾofeˈsoɾ nos eksˈplika la resˈpwesta]	The teacher explains the answer to us.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 57; OpenSLR21 329	core; function word; pronoun; object	First-person plural unstressed object pronoun.
28	le	/le/	to him; to her; to you	pronoun	le	Siempre le escribo los domingos.	[ˈsjempɾe le esˈkɾiβo los ðoˈmiŋɡos]	I always write to him on Sundays.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 37; OpenSLR21 59	core; function word; pronoun; indirect object	Singular indirect-object pronoun; the referent comes from context.
29	usted	/usˈted/	you (formal singular)	pronoun	usted	¿Quiere usted sentarse junto a la ventana?	[ˈkjeɾe usˈteð senˈtaɾse ˈxunto a la βenˈtana]	Would you like to sit by the window?	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 86; OpenSLR21 5078	core; function word; pronoun; subject; formal	Takes third-person singular verb forms.
30	del	/del/	of the; from the	preposition	de + el	El banco está cerca del mercado.	[el ˈβaŋko esˈta ˈseɾka ðel meɾˈkaðo]	The bank is near the market.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP 6; OpenSubtitles2018 31; OpenSLR21 9	core; function word; preposition; contraction	Required contraction of de + el.
31	al	/al/	to the; at the	preposition	a + el	Llegamos al hotel antes de las ocho.	[ʝeˈɣamos al oˈtel ˈantes ðe las ˈotʃo]	We arrive at the hotel before eight.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP 7; OpenSubtitles2018 35; OpenSLR21 17	core; function word; preposition; contraction	Required contraction of a + el.
32	pero	/ˈpeɾo/	but	conjunction	pero	Quiero salir, pero está lloviendo mucho.	[ˈkjeɾo saˈliɾ ˈpeɾo esˈta ʝoˈβjendo ˈmutʃo]	I want to go out, but it is raining a lot.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 23; OpenSLR21 33	core; function word; conjunction	Coordinates contrasting ideas.
33	o	/o/	or	conjunction	o	¿Prefieres café o té esta mañana?	[pɾeˈfjeɾes kaˈfe o te ˈesta maˈɲana]	Do you prefer coffee or tea this morning?	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 61; OpenSLR21 56	core; function word; conjunction	Changes to u before an initial /o/ sound.
34	si	/si/	if	conjunction	si	Llámame si necesitas ayuda esta tarde.	[ˈʝamame si neseˈsitas aˈʝuða ˈesta ˈtaɾðe]	Call me if you need help this afternoon.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 25; OpenSLR21 65	core; function word; conjunction; condition; accent contrast	Unaccented conditional conjunction; contrast affirmative sí.
35	sí	/si/	yes	adverb	sí	Ella dijo que sí con una sonrisa.	[ˈeʝa ˈðixo ke si kon ˈuna sonˈrisa]	She said yes with a smile.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 24; OpenSLR21 1065	core; affirmation; adverb; accent contrast	Accented affirmative word; contrast conditional si.
36	porque	/poɾˈke/	because	conjunction	porque	Cerramos la ventana porque hace frío.	[seˈramos la βenˈtana poɾˈke ˈase ˈfɾio]	We close the window because it is cold.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 76; OpenSLR21 149	core; function word; conjunction; reason	Introduces a reason; contrast interrogative por qué.
37	como	/ˈkomo/	as; like	conjunction	como	Trabajo como camarero durante el verano.	[tɾaˈβaxo ˈkomo kamaˈɾeɾo ðuˈɾante el βeˈɾano]	I work as a waiter during the summer.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP 8; OpenSubtitles2018 32; OpenSLR21 24	core; function word; conjunction; comparison; accent contrast	Unaccented comparison or role word; contrast cómo.
38	cuando	/ˈkwando/	when	conjunction	cuando	Avísame cuando llegues a casa.	[aˈβisame ˈkwando ˈʝeɣes a ˈkasa]	Let me know when you get home.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP 14; OpenSubtitles2018 53; OpenSLR21 53	core; function word; conjunction; time; accent contrast	Unaccented time conjunction; contrast interrogative cuándo.
39	más	/mas/	more; most	adverb	más	Necesito más tiempo para terminar esto.	[neseˈsito mas ˈtjempo ˈpaɾa teɾmiˈnaɾ ˈesto]	I need more time to finish this.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 36; OpenSLR21 23	core; adverb; quantity; comparison	Forms many comparative expressions.
40	muy	/muj/	very	adverb	muy	La sopa está muy caliente todavía.	[la ˈsopa esˈta muj kaˈljente toðaˈβia]	The soup is still very hot.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 43; OpenSLR21 130	core; adverb; degree	Modifies adjectives and adverbs, not nouns.
41	todo	/ˈtodo/	all; everything	pronoun	todo	Leo todo el informe esta noche.	[ˈleo ˈtoðo el iɱˈfoɾme ˈesta ˈnotʃe]	I am reading the whole report tonight.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 39; OpenSLR21 131	core; function word; pronoun; quantity	Also functions as a determiner and agrees when it modifies a noun.
42	esto	/ˈesto/	this	pronoun	esto	¿Puedes guardar esto en la nevera?	[ˈpweðes ɣwaɾˈðaɾ ˈesto en la neˈβeɾa]	Can you put this in the refrigerator?	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 38; OpenSLR21 625	core; function word; pronoun; demonstrative	Neuter demonstrative pronoun for an idea or unidentified thing.
43	eso	/ˈeso/	that	pronoun	eso	No pongas eso sobre la mesa.	[no ˈpoŋɡas ˈeso ˈsoβɾe la ˈmesa]	Do not put that on the table.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 27; OpenSLR21 407	core; function word; pronoun; demonstrative	Neuter demonstrative pronoun for an idea or unidentified thing.
44	algo	/ˈalɡo/	something; anything	pronoun	algo	Quiero comer algo antes de salir.	[ˈkjeɾo koˈmeɾ ˈalɣo ˈantes ðe saˈliɾ]	I want to eat something before leaving.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP 9; OpenSubtitles2018 48; OpenSLR21 861	core; function word; pronoun; indefinite	Indefinite pronoun for a thing or idea.
45	nada	/ˈnada/	nothing; anything	pronoun	nada	Hoy no tengo nada que hacer.	[oj no ˈteŋɡo ˈnaða ke aˈseɾ]	I have nothing to do today.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 58; OpenSLR21 679	core; function word; pronoun; indefinite; negation	Common after no in Spanish double-negative structure.
46	aquí	/aˈki/	here	adverb	aquí	Puedes dejar el bolso aquí.	[ˈpweðes ðeˈxaɾ el ˈβolso aˈki]	You can leave the bag here.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP 5; OpenSubtitles2018 33; OpenSLR21 545	core; adverb; place	Refers to a place near the speaker.
47	ahora	/aˈoɾa/	now	adverb	ahora	No puedo hablar ahora, estoy ocupado.	[no ˈpweðo aˈβlaɾ aˈoɾa esˈtoj okuˈpaðo]	I cannot talk now; I am busy.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP 12; OpenSubtitles2018 42; OpenSLR21 165	core; adverb; time	Common present-time adverb.
48	ya	/ʝa/	already; now	adverb	ya	El autobús ya está en la parada.	[el awtoˈβus ʝa esˈta en la paˈɾaða]	The bus is already at the stop.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 40; OpenSLR21 81	core; adverb; time	Meaning varies with context: already, now, or no longer with no.
49	siempre	/ˈsjempɾe/	always	adverb	siempre	Mi abuelo siempre desayuna temprano.	[mi aˈβwelo ˈsjempɾe ðesaˈʝuna temˈpɾano]	My grandfather always eats breakfast early.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 125; OpenSLR21 671	core; adverb; frequency	Expresses an action occurring every time.
50	nunca	/ˈnunka/	never	adverb	nunca	Ella nunca toma café por la noche.	[ˈeʝa ˈnuŋka ˈtoma kaˈfe poɾ la ˈnotʃe]	She never drinks coffee at night.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 98; OpenSLR21 744	core; adverb; frequency; negation	Can appear before a verb alone or after it with no.
51	también	/tamˈbjen/	also; too	adverb	también	Mi hermano también estudia español.	[mi eɾˈmano tamˈbjen esˈtuðja espaˈɲol]	My brother also studies Spanish.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 112; OpenSLR21 45	core; adverb; addition	Adds another person, thing, or action.
52	sin	/sin/	without	preposition	sin	Prefiero el café sin azúcar.	[pɾeˈfjeɾo el kaˈfe sin aˈsukaɾ]	I prefer coffee without sugar.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 115; OpenSLR21 50	core; function word; preposition	Introduces something absent or excluded.
53	bien	/bjen/	well	adverb	bien	Los niños duermen bien aquí.	[los ˈniɲos ˈðweɾmen bjen aˈki]	The children sleep well here.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP 4; OpenSubtitles2018 26; OpenSLR21 373	core; adverb; manner	Common adverb of manner; also used in evaluations.
54	qué	/ke/	what; which	pronoun	qué	No sé qué quieres decir.	[no se ke ˈkjeɾes ðeˈsiɾ]	I do not know what you mean.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 13; OpenSLR21 919	core; question word; pronoun; accent contrast	Accented in direct and indirect questions; contrast que.
55	cómo	/ˈkomo/	how	adverb	cómo	Explícame cómo funciona esta máquina.	[eksˈplikame ˈkomo funˈsjona ˈesta ˈmakina]	Explain to me how this machine works.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP 13; OpenSubtitles2018 59; OpenSLR21 1211	core; question word; adverb; accent contrast	Accented in direct and indirect questions; contrast como.
56	cuándo	/ˈkwando/	when	adverb	cuándo	¿Sabes cuándo llega el próximo tren?	[ˈsaβes ˈkwando ˈʝeɣa el ˈpɾoksimo tɾen]	Do you know when the next train arrives?	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP 85; OpenSubtitles2018 394; OpenSLR21 5546	core; question word; adverb; time; accent contrast	Accented in direct and indirect questions; contrast cuando.
57	dónde	/ˈdonde/	where	adverb	dónde	No recuerdo dónde dejé las llaves.	[no reˈkweɾðo ˈdonde ðeˈxe las ˈʝaβes]	I do not remember where I left the keys.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 99; OpenSLR21 4520	core; question word; adverb; place	Accented in direct and indirect questions.
58	quién	/kjen/	who	pronoun	quién	Dime quién viene a cenar.	[ˈdime kjen ˈbjene a seˈnaɾ]	Tell me who is coming to dinner.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 93; OpenSLR21 3095	core; question word; pronoun; person	Plural form is quiénes.
59	es	/es/	is	verb form	ser	Este camino es bastante largo.	[ˈeste kaˈmino es βasˈtante ˈlaɾɣo]	This road is quite long.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 8; OpenSLR21 21	core; verb form; present; third person	Third-person singular present of ser.
60	está	/esˈta/	is; is located	verb form	estar	La farmacia está cerca de aquí.	[la faɾˈmasja esˈta ˈseɾka ðe aˈki]	The pharmacy is near here.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 21; OpenSLR21 55	core; verb form; present; third person; location	Third-person singular present of estar.
61	hay	/aj/	there is; there are	verb form	haber	En esta calle hay dos panaderías.	[en ˈesta ˈkaʝe aj dos panaðeˈɾias]	There are two bakeries on this street.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 49; OpenSLR21 150	core; verb form; present; impersonal; existence	Impersonal present form of haber; unchanged for singular or plural.
62	soy	/soj/	I am	verb form	ser	Hoy soy responsable de cerrar la oficina.	[oj soj responˈsaβle ðe seˈrar la ofiˈsina]	Today I am responsible for closing the office.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 73; OpenSLR21 2763	core; verb form; present; first person	First-person singular present of ser.
63	estoy	/esˈtoj/	I am	verb form	estar	Esta semana estoy aprendiendo mucho español.	[ˈesta seˈmana esˈtoj apɾenˈdjendo ˈmutʃo espaˈɲol]	This week I am learning a lot of Spanish.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 41; OpenSLR21 1024	core; verb form; present; first person; progressive	First-person singular present of estar.
64	eres	/ˈeɾes/	you are	verb form	ser	Para mí, eres un buen amigo.	[ˈpaɾa mi ˈeɾes um bwen aˈmiɣo]	To me, you are a good friend.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 84; OpenSLR21 18695	core; verb form; present; second person; informal	Informal singular present of ser.
65	estás	/esˈtas/	you are; are located	verb form	estar	¿Por qué estás tan callado hoy?	[poɾ ke esˈtas taŋ kaˈʝaðo oj]	Why are you so quiet today?	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 54; OpenSLR21 19070	core; verb form; present; second person; informal	Informal singular present of estar.
66	tiene	/ˈtjene/	has; you have	verb form	tener	Mi barrio tiene una biblioteca pequeña.	[mi ˈbarjo ˈtjene ˈuna βiβljoˈteka peˈkeɲa]	My neighborhood has a small library.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 64; OpenSLR21 94	core; verb form; present; third person	Third-person singular or formal-you present of tener.
67	tengo	/ˈtenɡo/	I have	verb form	tener	Ahora tengo tiempo para cocinar.	[aˈoɾa ˈteŋɡo ˈtjempo ˈpaɾa kosiˈnaɾ]	Now I have time to cook.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 51; OpenSLR21 1636	core; verb form; present; first person	First-person singular present of tener.
68	tienes	/ˈtjenes/	you have	verb form	tener	¿Cuántos hermanos tienes en tu familia?	[ˈkwantos eɾˈmanos ˈtjenes en tu faˈmilja]	How many siblings do you have in your family?	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 78; OpenSLR21 17335	core; verb form; present; second person; informal	Informal singular present of tener.
69	puede	/ˈpwede/	can; may	verb form	poder	Este problema puede tener varias soluciones.	[ˈeste pɾoˈβlema ˈpweðe teˈneɾ ˈβaɾjas soluˈsjones]	This problem can have several solutions.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 83; OpenSLR21 232	core; verb form; present; third person; modal	Third-person singular or formal-you present of poder.
70	puedo	/ˈpwedo/	I can	verb form	poder	Hoy puedo ayudarte con la compra.	[oj ˈpweðo aʝuˈðaɾte kon la ˈkompɾa]	Today I can help you with the shopping.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 65; OpenSLR21 2641	core; verb form; present; first person; modal	First-person singular present of poder.
71	quiero	/ˈkjeɾo/	I want; I love	verb form	querer	Esta noche quiero preparar pasta.	[ˈesta ˈnotʃe ˈkjeɾo pɾepaˈɾaɾ ˈpasta]	Tonight I want to prepare pasta.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 67; OpenSLR21 2100	core; verb form; present; first person	First-person singular present of querer.
72	sé	/se/	I know	verb form	saber	Todavía no sé la respuesta.	[toðaˈβia no se la resˈpwesta]	I still do not know the answer.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 55; OpenSLR21 2952	core; verb form; present; first person; accent contrast	First-person singular present of saber; accent distinguishes it from se.
