Knowledge ID	Chinese Question	English Question	Chinese Answer	English Answer	Chinese Explanation	English Explanation	Category	Subcategory	Era	Region	Difficulty	Source	Source Date	Fact Checked	Tags
geo-basin-015	四川盆地为什么适合形成密集人口和农业？	Why has the Sichuan Basin supported dense population and agriculture?	因为盆地气候较温暖湿润，土地肥沃，水源较丰富。	Because it has a relatively warm, humid climate, fertile land, and abundant water.	周围山地使盆地形成独特环境，成都平原尤其以农业条件良好著称。	The surrounding mountains create a distinctive environment, and the Chengdu Plain is especially noted for favourable farming conditions.	geography	physical_regions		sichuan_basin	intermediate	MEE_GEOGRAPHY;LOC_CHINA_STUDY	2026-08-06	2026-08-06	qtype::cause
geo-desert-016	塔克拉玛干沙漠位于哪个盆地？	In which basin is the Taklamakan Desert located?	塔里木盆地。	The Tarim Basin.	塔里木盆地位于新疆南部，四周有高山，内部气候极为干旱。	The Tarim Basin lies in southern Xinjiang, enclosed by high mountains and marked by an extremely arid interior.	geography	deserts		xinjiang	foundation	MEE_GEOGRAPHY	2026-08-06	2026-08-06	qtype::location
geo-desert-017	戈壁沙漠主要分布在中国的哪个方向？	In which part of China is the Gobi Desert mainly found?	中国北部和西北部，并延伸到蒙古国。	Across northern and northwestern China, extending into Mongolia.	戈壁多为砾石和裸地，并不全是连续的沙丘。	Much of the Gobi consists of gravel and exposed ground rather than continuous sand dunes.	geography	deserts		northwest_china	foundation	LOC_CHINA_STUDY	2026-08-06	2026-08-06	qtype::location
geo-mountain-018	喜马拉雅山脉位于中国的哪个边缘？	Along which edge of China do the Himalayas lie?	西南边缘。	The southwestern edge.	喜马拉雅山把青藏高原与南亚分隔开，并包括世界最高峰所在的山区。	The Himalayas separate the Tibetan Plateau from South Asia and include the region containing the world's highest peak.	geography	mountains		southwest_china	foundation	MEE_GEOGRAPHY	2026-08-06	2026-08-06	qtype::location
geo-mountain-019	秦岭在中国自然地理中常被视为什么界线？	What boundary do the Qinling Mountains often represent in China's physical geography?	中国北方与南方之间的重要自然界线。	An important natural boundary between northern and southern China.	秦岭—淮河线常用来概括气候、农业和生活方式的南北差异。	The Qinling–Huai line is often used to summarize north–south differences in climate, agriculture, and ways of life.	geography	mountains		central_china	intermediate	LOC_CHINA_STUDY	2026-08-06	2026-08-06	qtype::classification
geo-climate-020	中国东部大部分地区的降水主要受什么气候系统影响？	What climate system chiefly shapes rainfall across much of eastern China?	东亚季风。	The East Asian monsoon.	夏季湿润气流从海洋带来大量降水，冬季则多受寒冷干燥气流影响。	Moist maritime air brings much of the summer rain, while winter is more influenced by cold, dry continental air.	geography	climate		eastern_china	intermediate	MEE_GEOGRAPHY	2026-08-06	2026-08-06	qtype::cause
geo-agriculture-021	中国北方传统粮食作物以什么为主？	Which staple grain has traditionally predominated in northern China?	小麦。	Wheat.	北方较冷、较干，旱地农业普遍，小麦和玉米都很重要。	The north is generally cooler and drier, favouring dryland farming; wheat and maize are both important.	geography	agricultural_zones		north_china	foundation	LOC_CHINA_STUDY	2026-08-06	2026-08-06	qtype::classification
geo-agriculture-022	中国南方灌溉农业传统上以哪种粮食作物为中心？	Which grain traditionally lies at the centre of irrigated farming in southern China?	水稻。	Rice.	南方温暖湿润，长江流域和华南许多地区适合水田农业。	The warmer, wetter south supports paddy agriculture across much of the Yangtze basin and South China.	geography	agricultural_zones		south_china	foundation	LOC_CHINA_STUDY	2026-08-06	2026-08-06	qtype::classification
geo-sea-023	中国东部沿海从北到南主要面对哪些海域？	Which main seas border China's east coast from north to south?	渤海、黄海、东海和南海。	The Bohai Sea, Yellow Sea, East China Sea, and South China Sea.	这些海域连接中国沿海港口与东北亚、东南亚及全球航线。	These seas connect China's coastal ports with Northeast Asia, Southeast Asia, and global shipping routes.	geography	seas		coastal_china	intermediate	MEE_GEOGRAPHY	2026-08-06	2026-08-06	qtype::classification
geo-admin-024	中国的省级行政区共有多少个？	How many provincial-level divisions does China count?	34个。	34.	中华人民共和国官方划分包括23个省、5个自治区、4个直辖市和2个特别行政区；23省的口径包括台湾，台湾的政治地位存在争议。	The PRC's official classification comprises 23 provinces, 5 autonomous regions, 4 municipalities, and 2 special administrative regions; its 23-province count includes Taiwan, whose political status is disputed.	geography	administrative_divisions		china	foundation	GOV_ADMIN	2026-08-06	2026-08-06	qtype::direct sensitivity::territorial
geo-admin-025	中国的四个直辖市是哪四个？	Which four provincial-level divisions are centrally administered municipalities?	北京、天津、上海和重庆。	Beijing, Tianjin, Shanghai, and Chongqing.	直辖市与省同级，由中央政府直接管辖，并包含城市核心区和更广的行政区域。	Municipalities rank at the provincial level, are directly administered by the central government, and include both urban cores and wider territory.	geography	administrative_divisions		china	foundation	GOV_ADMIN	2026-08-06	2026-08-06	qtype::classification
geo-admin-026	中国的两个特别行政区是哪两个？	What are China's two special administrative regions?	香港和澳门。	Hong Kong and Macao.	特别行政区根据专门的基本法运行，与普通省级行政区的制度安排不同。	Each special administrative region operates under a Basic Law and has arrangements distinct from ordinary provincial-level divisions.	geography	administrative_divisions		hong_kong_macao	foundation	GOV_ADMIN;NPC_CONSTITUTION	2026-08-06	2026-08-06	qtype::classification
geo-admin-027	自治区与普通省在名称和制度设计上的主要区别是什么？	What chiefly distinguishes an autonomous region from an ordinary province in name and institutional design?	自治区是为民族区域自治而设立的省级行政区。	An autonomous region is a provincial-level division established for regional ethnic autonomy.	它仍属于中国的统一行政体系，但法律规定了与民族自治有关的机关和权限。	It remains within the unified administrative system while law provides institutions and powers connected with regional ethnic autonomy.	geography	administrative_divisions		china	intermediate	GOV_ADMIN;NPC_CONSTITUTION	2026-08-06	2026-08-06	qtype::comparison
geo-admin-028	中国的五个自治区是哪五个？	Which are China's five autonomous regions?	内蒙古、广西壮族、西藏、宁夏回族和新疆维吾尔自治区。	Inner Mongolia, Guangxi Zhuang, Tibet, Ningxia Hui, and Xinjiang Uyghur autonomous regions.	五个自治区都属于省级行政区。	All five are provincial-level divisions.	geography	administrative_divisions		china	intermediate	GOV_ADMIN	2026-08-06	2026-08-06	qtype::classification
geo-capital-029	中国的首都是哪里？	What is the capital of China?	北京。	Beijing.	北京是中央国家机关所在地，也是重要的历史、文化、教育和交通中心。	Beijing is the seat of central state institutions and a major historical, cultural, educational, and transport centre.	geography	capitals		beijing	foundation	GOV_ADMIN;NPC_CONSTITUTION	2026-08-06	2026-08-06	qtype::direct
geo-capital-030	四川省的省会是哪里？	What is the capital of Sichuan Province?	成都。	Chengdu.	成都是四川盆地西部的主要城市，也是中国西南地区的重要经济文化中心。	Chengdu is a major city in the western Sichuan Basin and an important economic and cultural centre of southwest China.	geography	provincial_capitals		sichuan	foundation	NBS_YEARBOOK_2025;LOC_CHINA_STUDY	2026-08-06	2026-08-06	qtype::direct
geo-capital-031	广东省的省会是哪里？	What is the capital of Guangdong Province?	广州。	Guangzhou.	广州位于珠江三角洲，是历史悠久的港口和华南商业中心。	Guangzhou lies in the Pearl River Delta and is a historic port and commercial centre of South China.	geography	provincial_capitals		guangdong	foundation	NBS_YEARBOOK_2025;LOC_CHINA_STUDY	2026-08-06	2026-08-06	qtype::direct
geo-capital-032	云南省政府驻在哪座城市？	In which city is the Yunnan provincial government seated?	昆明。	Kunming.	昆明位于云贵高原，是连接中国西南与东南亚的重要城市。	Kunming lies on the Yunnan–Guizhou Plateau and is an important link between southwest China and Southeast Asia.	geography	provincial_capitals		yunnan	foundation	NBS_YEARBOOK_2025;LOC_CHINA_STUDY	2026-08-06	2026-08-06	qtype::direct
geo-capital-033	陕西省的省会是哪里？	What is the capital of Shaanxi Province?	西安。	Xi'an.	西安是古代长安所在地，长期是帝国首都和丝绸之路东端的重要城市。	Xi'an occupies the site of ancient Chang'an, long an imperial capital and an important eastern terminus of Silk Road routes.	geography	provincial_capitals		shaanxi	foundation	NBS_YEARBOOK_2025;MET_CHINA_EARLY	2026-08-06	2026-08-06	qtype::direct
geo-capital-034	湖北省的省会是哪里？	What is the capital of Hubei Province?	武汉。	Wuhan.	武汉位于长江与汉江交汇处，是中国中部的重要交通和工业中心。	Wuhan stands at the confluence of the Yangtze and Han rivers and is a major transport and industrial centre in central China.	geography	provincial_capitals		hubei	foundation	NBS_YEARBOOK_2025;LOC_CHINA_STUDY	2026-08-06	2026-08-06	qtype::direct
geo-capital-035	哪座城市是湖南省的行政中心？	Which city is the administrative centre of Hunan Province?	长沙。	Changsha.	长沙位于湘江沿岸，是湖南的政治、教育和交通中心。	Changsha lies on the Xiang River and is Hunan's political, educational, and transport centre.	geography	provincial_capitals		hunan	foundation	NBS_YEARBOOK_2025	2026-08-06	2026-08-06	qtype::direct
geo-capital-036	河南省的省会是哪里？	What is the capital of Henan Province?	郑州。	Zhengzhou.	郑州位于中国主要南北和东西铁路通道的交会区域。	Zhengzhou lies near the intersection of major north–south and east–west rail corridors.	geography	provincial_capitals		henan	foundation	NBS_YEARBOOK_2025	2026-08-06	2026-08-06	qtype::direct
geo-capital-037	山东省的省会是哪里？	What is the capital of Shandong Province?	济南。	Jinan.	济南位于山东内陆，青岛则是该省更著名的沿海港口城市。	Jinan lies inland, while Qingdao is the province's better-known coastal port city.	geography	provincial_capitals		shandong	foundation	NBS_YEARBOOK_2025	2026-08-06	2026-08-06	qtype::direct
geo-capital-038	江苏省的省会是哪里？	What is the capital of Jiangsu Province?	南京。	Nanjing.	南京位于长江下游，曾多次成为中国的首都，也是长三角的重要城市。	Nanjing lies on the lower Yangtze, has repeatedly served as a capital, and is a major Yangtze Delta city.	geography	provincial_capitals		jiangsu	foundation	NBS_YEARBOOK_2025;LOC_CHINA_STUDY	2026-08-06	2026-08-06	qtype::direct
geo-capital-039	浙江省的省会是哪里？	What is the capital of Zhejiang Province?	杭州。	Hangzhou.	杭州位于钱塘江附近，以西湖、历史文化和数字经济闻名。	Hangzhou lies near the Qiantang River and is known for West Lake, its historical culture, and its digital economy.	geography	provincial_capitals		zhejiang	foundation	NBS_YEARBOOK_2025	2026-08-06	2026-08-06	qtype::direct
geo-capital-040	福建省的省会是哪里？	What is the capital of Fujian Province?	福州。	Fuzhou.	福州位于福建东部沿海附近，是该省行政和交通中心；厦门则是重要港口和经济特区。	Fuzhou is the provincial administrative and transport centre near the east coast; Xiamen is an important port and special economic zone.	geography	provincial_capitals		fujian	foundation	NBS_YEARBOOK_2025;IMF_SEZ	2026-08-06	2026-08-06	qtype::direct
geo-capital-041	安徽省的省会是哪里？	What is the capital of Anhui Province?	合肥。	Hefei.	合肥位于安徽中部，是重要的科研、教育和制造业城市。	Hefei lies in central Anhui and is an important centre for research, education, and manufacturing.	geography	provincial_capitals		anhui	foundation	NBS_YEARBOOK_2025	2026-08-06	2026-08-06	qtype::direct
geo-capital-042	江西省的省会是哪里？	What is the capital of Jiangxi Province?	南昌。	Nanchang.	南昌位于赣江沿岸，是江西的主要行政和交通中心。	Nanchang lies on the Gan River and is Jiangxi's principal administrative and transport centre.	geography	provincial_capitals		jiangxi	foundation	NBS_YEARBOOK_2025	2026-08-06	2026-08-06	qtype::direct
geo-capital-043	贵州省的省会是哪里？	What is the capital of Guizhou Province?	贵阳。	Guiyang.	贵阳位于云贵高原，是贵州的政治、交通和服务业中心。	Guiyang lies on the Yunnan–Guizhou Plateau and is Guizhou's political, transport, and service-sector centre.	geography	provincial_capitals		guizhou	foundation	NBS_YEARBOOK_2025	2026-08-06	2026-08-06	qtype::direct
geo-capital-044	甘肃省的省会是哪里？	What is the capital of Gansu Province?	兰州。	Lanzhou.	兰州位于黄河沿岸，长期是连接中国内地与西北地区的交通节点。	Lanzhou stands on the Yellow River and has long been a transport node linking China's interior with the northwest.	geography	provincial_capitals		gansu	foundation	NBS_YEARBOOK_2025;LOC_CHINA_STUDY	2026-08-06	2026-08-06	qtype::direct
geo-capital-045	青海省的省会是哪里？	What is the capital of Qinghai Province?	西宁。	Xining.	西宁位于青藏高原东北边缘，是进入青海和西藏方向的重要门户。	Xining lies on the northeastern edge of the Tibetan Plateau and is an important gateway toward Qinghai and Tibet.	geography	provincial_capitals		qinghai	foundation	NBS_YEARBOOK_2025	2026-08-06	2026-08-06	qtype::direct
geo-capital-046	辽宁省的省会是哪里？	What is the capital of Liaoning Province?	沈阳。	Shenyang.	沈阳是东北地区重要的工业和交通中心，大连则是辽宁的主要海港之一。	Shenyang is a major industrial and transport centre of the northeast, while Dalian is one of Liaoning's principal seaports.	geography	provincial_capitals		liaoning	foundation	NBS_YEARBOOK_2025	2026-08-06	2026-08-06	qtype::direct
geo-capital-047	黑龙江省的省会是哪里？	What is the capital of Heilongjiang Province?	哈尔滨。	Harbin.	哈尔滨位于松花江沿岸，是中国东北北部的重要城市。	Harbin stands on the Songhua River and is a major city in the northern part of northeast China.	geography	provincial_capitals		heilongjiang	foundation	NBS_YEARBOOK_2025	2026-08-06	2026-08-06	qtype::direct
geo-capital-048	广西壮族自治区的首府是哪里？	What is the capital of the Guangxi Zhuang Autonomous Region?	南宁。	Nanning.	南宁位于广西南部，是面向东南亚的重要区域中心。	Nanning lies in southern Guangxi and is an important regional centre facing Southeast Asia.	geography	provincial_capitals		guangxi	foundation	NBS_YEARBOOK_2025	2026-08-06	2026-08-06	qtype::direct
geo-capital-049	新疆维吾尔自治区的首府是哪里？	What is the capital of the Xinjiang Uyghur Autonomous Region?	乌鲁木齐。	Urumqi.	乌鲁木齐位于天山北侧，是新疆最大的城市和主要交通中心。	Urumqi lies north of the Tianshan Mountains and is Xinjiang's largest city and principal transport centre.	geography	provincial_capitals		xinjiang	foundation	NBS_YEARBOOK_2025;LOC_CHINA_STUDY	2026-08-06	2026-08-06	qtype::direct
geo-capital-050	西藏自治区的首府是哪里？	What is the capital of the Tibet Autonomous Region?	拉萨。	Lhasa.	拉萨位于青藏高原，是西藏的政治、文化和宗教中心。	Lhasa lies on the Tibetan Plateau and is Tibet's political, cultural, and religious centre.	geography	provincial_capitals		tibet	foundation	NBS_YEARBOOK_2025;LOC_CHINA_STUDY	2026-08-06	2026-08-06	qtype::direct
geo-city-051	深圳在中国现代城市发展史上为什么重要？	Why is Shenzhen important in the history of modern Chinese urban development?	它是改革开放初期设立的经济特区和快速城市化的代表。	It became a Special Economic Zone early in Reform and Opening Up and a symbol of rapid urbanization.	深圳靠近香港，政策试验、外资和制造业共同推动了其增长。	Its proximity to Hong Kong, policy experimentation, foreign investment, and manufacturing all contributed to its growth.	geography	major_cities		shenzhen	intermediate	IMF_SEZ;IMF_REFORM	2026-08-06	2026-08-06	qtype::significance
geo-city-052	上海最重要的地理优势之一是什么？	What is one of Shanghai's most important geographic advantages?	位于长江入海口并面向东海。	Its position at the Yangtze estuary facing the East China Sea.	这一位置使上海同时连接广阔内陆、沿海经济区和国际航线。	This position connects Shanghai with a vast inland hinterland, the coastal economy, and international shipping routes.	geography	major_cities		shanghai	foundation	MEE_GEOGRAPHY;LOC_CHINA_STUDY	2026-08-06	2026-08-06	qtype::significance
geo-city-053	重庆作为直辖市有什么显著的空间特点？	What is a notable spatial feature of Chongqing as a municipality?	行政区域广大，包含中心城区、山区、县和农村地区。	Its large territory includes a central city, mountains, counties, and rural areas.	“直辖市”并不只指连续的城市建成区，重庆尤其说明了这一点。	A municipality is not merely a continuous built-up city, and Chongqing makes this especially clear.	geography	major_cities		chongqing	intermediate	GOV_ADMIN;MEE_GEOGRAPHY	2026-08-06	2026-08-06	qtype::comparison
geo-city-054	天津的传统城市角色与哪种地理条件有关？	Which geographic condition is linked to Tianjin's traditional urban role?	靠近北京并拥有渤海港口。	Its proximity to Beijing and its Bohai port.	天津长期承担首都门户、港口和北方工业城市等功能。	Tianjin has long served as a gateway to the capital, a port, and a northern industrial city.	geography	major_cities		tianjin	intermediate	LOC_CHINA_STUDY	2026-08-06	2026-08-06	qtype::cause
geo-region-055	长江三角洲通常以上海和哪两个省为核心？	Which two provinces, together with Shanghai, form the core of the Yangtze River Delta?	江苏省和浙江省。	Jiangsu and Zhejiang provinces.	这一地区城市密集，制造业、服务业、港口和交通网络高度发达。	The region has a dense urban network and highly developed manufacturing, services, ports, and transport.	geography	regional_groupings		yangtze_delta	foundation	NBS_YEARBOOK_2025	2026-08-06	2026-08-06	qtype::classification
geo-region-056	“京津冀”指哪三个省级地区？	Which three provincial-level areas make up Jing-Jin-Ji?	北京、天津和河北。	Beijing, Tianjin, and Hebei.	这一概念用于讨论首都地区的交通、产业、环境和城市协调发展。	The term is used in discussing coordinated transport, industry, environmental policy, and urban development around the capital.	geography	regional_groupings		jing_jin_ji	foundation	NBS_YEARBOOK_2025	2026-08-06	2026-08-06	qtype::classification
geo-region-057	“东北三省”通常指哪三个省？	Which provinces are usually meant by the “three northeastern provinces”?	辽宁、吉林和黑龙江。	Liaoning, Jilin, and Heilongjiang.	东北地区以寒冷气候、黑土地、重工业传统和与俄罗斯、朝鲜半岛相邻而著称。	The northeast is known for its cold climate, black soils, heavy-industry legacy, and proximity to Russia and the Korean Peninsula.	geography	regional_groupings		northeast_china	foundation	NBS_YEARBOOK_2025	2026-08-06	2026-08-06	qtype::classification
geo-region-058	粤港澳大湾区包括哪两个特别行政区？	Which two special administrative regions are part of the Guangdong–Hong Kong–Macao Greater Bay Area?	香港和澳门。	Hong Kong and Macao.	该区域还包括珠江三角洲的广州、深圳等广东城市。	The region also includes Guangdong cities in the Pearl River Delta, such as Guangzhou and Shenzhen.	geography	regional_groupings		greater_bay_area	foundation	GOV_ADMIN;NBS_YEARBOOK_2025	2026-08-06	2026-08-06	qtype::classification
geo-region-059	中国官方统计中的东部地区为何具有经济地理意义？	Why is China's official eastern-region grouping economically significant?	它集中许多沿海省市和主要城市经济区。	It contains many coastal provinces and major metropolitan economies.	北京、上海、江苏、浙江、福建、山东、广东等都被列入东部地区。	Beijing, Shanghai, Jiangsu, Zhejiang, Fujian, Shandong, and Guangdong are among the areas classified as eastern.	geography	regional_groupings		eastern_china	intermediate	NBS_YEARBOOK_2025	2026-08-06	2026-08-06	qtype::significance
geo-region-060	海南省最突出的地理特点是什么？	What is Hainan Province's most distinctive geographic feature?	它以海南岛为主体，是中国最南端的省份。	It is centred on Hainan Island and is China's southernmost province.	热带气候、海岸和面向南海的位置影响了其农业、旅游和对外联系。	Its tropical climate, coastline, and position on the South China Sea shape its agriculture, tourism, and external links.	geography	islands		hainan	foundation	MEE_GEOGRAPHY	2026-08-06	2026-08-06	qtype::direct
geo-region-061	台湾海峡位于哪两个主要陆地区域之间？	Between which two main land areas does the Taiwan Strait lie?	中国大陆东南沿海与台湾岛之间。	Between the southeast coast of mainland China and the island of Taiwan.	海峡北接东海、南连南海，是东亚重要海域的一部分。	The strait connects the East China Sea to the north with the South China Sea to the south and forms part of an important East Asian maritime zone.	geography	seas		taiwan_strait	foundation	MEE_GEOGRAPHY	2026-08-06	2026-08-06	qtype::location
geo-population-062	中国人口为什么主要集中在东部？	Why is China's population concentrated mainly in the east?	东部有较多平原、河流、降水、耕地、城市和交通网络。	The east has more plains, rivers, rainfall, farmland, cities, and transport networks.	西部面积广大，但高原、山地和干旱区较多，人口密度通常较低。	The west is vast but contains more plateau, mountain, and arid environments, so population density is generally lower.	geography	population_distribution		china	intermediate	MEE_GEOGRAPHY;NBS_CENSUS_2020	2026-08-06	2026-08-06	qtype::cause
geo-line-063	“胡焕庸线”用来概括什么地理现象？	What geographic pattern does the Hu Huanyong Line summarize?	中国人口在东南稠密、西北稀疏的分布差异。	The contrast between dense population in the southeast and sparse population in the northwest.	这条概念线不是行政边界，而是说明人口与自然环境、历史开发和城市网络的关系。	It is not an administrative boundary but a conceptual line showing how population relates to environment, historical settlement, and urban networks.	geography	population_distribution		china	advanced	NBS_CENSUS_2020;MEE_GEOGRAPHY	2026-08-06	2026-08-06	qtype::significance
geo-climate-064	中国从东南沿海到西北内陆，湿润程度总体怎样变化？	How does moisture generally change from China's southeast coast to its northwest interior?	总体由湿润变为干旱。	It generally shifts from humid to arid.	海洋季风带来的水汽向内陆减少，而西北远离海洋并受山地阻挡。	Moisture from maritime monsoons diminishes inland, while the northwest is far from the sea and lies behind mountain barriers.	geography	climate		china	foundation	MEE_GEOGRAPHY	2026-08-06	2026-08-06	qtype::comparison
geo-earthquake-065	中国西部和西南部为什么多地震活动？	Why are many parts of western and southwestern China seismically active?	因为印度板块与欧亚板块的碰撞持续影响该地区。	Because the collision of the Indian and Eurasian plates continues to affect the region.	青藏高原及其边缘的地壳变形形成多条活动断裂带。	Crustal deformation across the Tibetan Plateau and its margins creates many active fault zones.	geography	natural_hazards		western_china	intermediate	MEE_GEOGRAPHY	2026-08-06	2026-08-06	qtype::cause
hist-prehistory-001	中国新石器时代最重要的社会变化之一是什么？	What was one of the most important social changes in Neolithic China?	定居农业村落逐渐发展。	The growth of settled farming villages.	北方种植粟黍、南方种植水稻的农业传统，为更复杂的社会组织奠定基础。	Farming traditions based on millet in the north and rice in the south helped support more complex social organization.	history	prehistory	neolithic	china	foundation	LOC_CHINA_STUDY	2026-08-06	2026-08-06	qtype::significance
hist-prehistory-002	黄河流域与中国早期文明有什么关系？	How is the Yellow River basin related to early Chinese civilization?	它是早期农业、城市和王朝国家形成的核心地区之一。	It was one of the core regions where early farming, cities, and dynastic states developed.	这一流域并非中国文明的唯一来源，但长期是政治和文化重心。	It was not the only source of Chinese civilization, but it remained a major political and cultural centre.	history	prehistory	neolithic	yellow_river_basin	foundation	NATGEO_HUANGHE;LOC_CHINA_STUDY	2026-08-06	2026-08-06	qtype::significance
hist-prehistory-003	长江流域在中国早期农业史上尤其与哪种作物有关？	Which crop is especially associated with the early agricultural history of the Yangtze basin?	水稻。	Rice.	长江中下游的考古遗址显示，稻作农业很早就在南方发展。	Archaeological sites in the middle and lower Yangtze show that rice farming developed early in southern China.	history	prehistory	neolithic	yangtze_basin	foundation	LOC_CHINA_STUDY	2026-08-06	2026-08-06	qtype::direct
hist-prehistory-004	仰韶文化通常与中国哪个大区域有关？	With which broad region is the Yangshao culture associated?	黄河中游及其周边。	The middle Yellow River region and nearby areas.	仰韶文化以新石器时代村落、农业和彩陶闻名。	The Yangshao culture is known for Neolithic villages, farming, and painted pottery.	history	prehistory	neolithic	yellow_river_basin	intermediate	LOC_CHINA_STUDY	2026-08-06	2026-08-06	qtype::location
