Word	Pinyin	Meaning	Example	Example Pinyin	Example Meaning	Source	Production Card	Sentence Card	Frequency Rank	Tags	Pilot Priority	Usage Note	Input File	Input Row
鼓励	gǔlì	to encourage; encouragement	她站在台下，用一个微笑鼓励他继续说下去。	Tā zhàn zài tái xià, yòng yī ge wēixiào gǔlì tā jìxù shuō xiàqu.	She stood below the stage and encouraged him with a smile to keep speaking.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	11	Verb here, with the person receiving encouragement as its object.	lingq.csv	29
承受	chéngshòu	to bear; to endure; to withstand	她不想让他一个人承受失去亲人的痛苦。	Tā bù xiǎng ràng tā yī ge rén chéngshòu shīqù qīnrén de tòngkǔ.	She did not want him to bear the pain of losing a loved one alone.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	12	Here, enduring emotional pain; also used for pressure or physical load.	lingq.csv	21
坚强	jiānqiáng	emotionally strong; resilient	在别人面前她总是很坚强，见到他却忍不住哭了。	Zài biérén miànqián tā zǒngshì hěn jiānqiáng, jiàndào tā què rěnbuzhù kū le.	She was always strong in front of other people, but when she saw him, she could not hold back her tears.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	13	Primarily strength of character here, not muscular strength.	lingq 2.csv	40
认同	rèntóng	to agree with; to identify with; to accept	她不太认同他的想法，却还是认真听完了。	Tā bù tài rèntóng tā de xiǎngfǎ, què háishi rènzhēn tīng wán le.	She did not really agree with his idea, but still listened carefully to the end.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	14	Agreement or acceptance of an idea in this example.	lingq 2.csv	45
欲望	yùwàng	desire; longing; craving	他看着她，努力控制住想吻她的欲望。	Tā kànzhe tā, nǔlì kòngzhì zhù xiǎng wěn tā de yùwàng.	He looked at her, trying to control his desire to kiss her.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	15	A strong desire; not limited to sexual desire.	lingq 2.csv	51
偏偏	piānpiān	against expectations; just when one wishes otherwise	她想装作没看见他，偏偏电梯里只有他们两个人。	Tā xiǎng zhuāngzuò méi kànjiàn tā, piānpiān diàntī lǐ zhǐ yǒu tāmen liǎng ge rén.	She wanted to pretend she had not seen him, but of all things, they were the only two people in the lift.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	16	Here marks an inconvenient contradiction of her wishes; not always negative in every context.	lingq 2.csv	37
哪怕	nǎpà	even if; even though	哪怕只能见她五分钟，他也愿意等到很晚。	Nǎpà zhǐ néng jiàn tā wǔ fēnzhōng, tā yě yuànyì děng dào hěn wǎn.	Even if he could see her for only five minutes, he was willing to wait until late.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	17	Learn the concessive frame 哪怕……也…….	lingq.csv	42
显得	xiǎnde	to seem; to look; to appear	他平时话不多，今天在她面前却显得格外紧张。	Tā píngshí huà bù duō, jīntiān zài tā miànqián què xiǎnde géwài jǐnzhāng.	He was usually a man of few words, but today he seemed especially nervous in front of her.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	18	Often followed by a description of how someone or something appears.	lingq.csv	15
毫不	háobù	not at all; not in the least	她说自己毫不在意，回家后却一直睡不着。	Tā shuō zìjǐ háobù zàiyì, huí jiā hòu què yīzhí shuìbuzháo.	She said she did not care at all, but after going home she could not get to sleep.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	19	Strong negation. Do not teach the potentially misleading standalone gloss hardly.	lingq.csv	34
总算	zǒngsuàn	finally; at long last	等了整个晚上，她总算收到了他的消息。	Děng le zhěng ge wǎnshang, tā zǒngsuàn shōudào le tā de xiāoxi.	After waiting all evening, she finally received a message from him.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	20	Often conveys relief after waiting or difficulty; this example does not teach its other senses.	lingq 2.csv	24
究竟	jiūjìng	what exactly; actually; after all	她想知道，他究竟是喜欢她，还是只把她当朋友。	Tā xiǎng zhīdào, tā jiūjìng shì xǐhuan tā, háishi zhǐ bǎ tā dàng péngyou.	She wanted to know whether he really liked her or only saw her as a friend.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	21	Here strengthens an unresolved question. Do not give only outcome/result as the meaning.	lingq.csv	8
反复	fǎnfù	repeatedly; over and over	那条消息只有几个字，她却反复看了很多遍。	Nà tiáo xiāoxi zhǐ yǒu jǐ ge zì, tā què fǎnfù kàn le hěn duō biàn.	The message was only a few characters long, but she read it over and over.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	22	Repetition of an action; here, reading the same message.	lingq.csv	36
悄悄	qiāoqiāo	quietly; secretly; without drawing attention	他没有叫醒她，只是悄悄把外套盖在她身上。	Tā méiyǒu jiàoxǐng tā, zhǐshì qiāoqiāo bǎ wàitào gài zài tā shēnshang.	He did not wake her; he just quietly laid his coat over her.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	23	Describes an unobtrusive action, not only a low sound volume.	lingq 2.csv	7
漫长	màncháng	very long; prolonged; seemingly endless	等她回答的那几秒，对他来说格外漫长。	Děng tā huídá de nà jǐ miǎo, duì tā lái shuō géwài màncháng.	The few seconds he spent waiting for her answer felt especially long to him.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	24	Often used for subjective duration, even when the actual time is short.	lingq.csv	46
细节	xìjié	detail; small but specific feature	他记得她随口说过的每一个细节。	Tā jìde tā suíkǒu shuō guo de měi yī ge xìjié.	He remembered every detail she had mentioned in passing.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	25	Concrete narrative detail; useful beyond the romance genre.	lingq.csv	33
猜测	cāicè	to guess; to speculate; a guess	她没有问他为什么迟到，只在心里猜测原因。	Tā méiyǒu wèn tā wèishénme chídào, zhǐ zài xīn lǐ cāicè yuányīn.	She did not ask why he was late; she only guessed at the reason to herself.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	26	An inference without certainty; not confirmed knowledge.	lingq 2.csv	20
谨慎	jǐnshèn	cautious; careful	她回答得很谨慎，生怕一句话就让他误会。	Tā huídá de hěn jǐnshèn, shēngpà yī jù huà jiù ràng tā wùhuì.	She answered cautiously, afraid that one sentence might give him the wrong idea.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	27	Care motivated by possible consequences.	lingq.csv	9
天生	tiānshēng	naturally; by nature; inborn	她以为他天生就这么冷淡，直到看见他对着小猫笑。	Tā yǐwéi tā tiānshēng jiù zhème lěngdàn, zhídào kànjiàn tā duìzhe xiǎomāo xiào.	She thought he was naturally that aloof, until she saw him smiling at a kitten.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	28	Describes an inborn or apparently natural characteristic.	lingq 2.csv	23
就此	jiùcǐ	at this point; from here; with this	她以为两人的故事会就此结束，他却又回来了。	Tā yǐwéi liǎng rén de gùshi huì jiùcǐ jiéshù, tā què yòu huílai le.	She thought their story would end there, but he came back again.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	29	Here: end at this point. Learn in the frame 就此结束.	lingq 2.csv	46
出于	chūyú	out of; motivated by; arising from	她分不清，他来接她是出于关心，还是只是客气。	Tā fēn bu qīng, tā lái jiē tā shì chūyú guānxīn, háishi zhǐshì kèqi.	She could not tell whether he had come to pick her up out of concern or merely out of politeness.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	30	Introduces a motive or cause; not literal physical movement out of somewhere.	lingq 2.csv	44
及时	jíshí	in time; promptly; timely	他及时扶住了她，才没让她从台阶上摔下去。	Tā jíshí fúzhù le tā, cái méi ràng tā cóng táijiē shàng shuāi xiàqu.	He caught her in time, keeping her from falling down the steps.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	31	At the necessary moment; distinguish from merely being early.	lingq.csv	2
临时	línshí	at short notice; temporary; provisional	他临时取消了约会，她只好一个人吃晚饭。	Tā línshí qǔxiāo le yuēhuì, tā zhǐhǎo yī ge rén chī wǎnfàn.	He cancelled their date at short notice, so she had to eat dinner alone.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	32	The example teaches an unplanned, last-minute change.	lingq.csv	11
随着	suízhe	as; along with; in step with	随着天气变冷，他每天都提醒她多穿一件衣服。	Suízhe tiānqì biàn lěng, tā měitiān dōu tíxǐng tā duō chuān yī jiàn yīfu.	As the weather grew colder, he reminded her every day to put on another layer.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	33	Links a developing circumstance with another event; not literal following here.	lingq.csv	13
程度	chéngdù	degree; extent; level	她没想到，自己已经喜欢他到这种程度。	Tā méi xiǎngdào, zìjǐ yǐjīng xǐhuan tā dào zhè zhǒng chéngdù.	She had not realised she had come to like him this much.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	34	The frame 到这种程度 means to this extent.	lingq.csv	5
形象	xíngxiàng	image; impression; public persona	那次见面以后，他在她心里的形象完全变了。	Nà cì jiànmiàn yǐhòu, tā zài tā xīn lǐ de xíngxiàng wánquán biàn le.	After that meeting, her image of him changed completely.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	35	Here, the impression of a person, not a photograph or graphic.	lingq.csv	20
否定	fǒudìng	to reject; to negate; to deny the validity of	他没有否定她的感受，只是安静地听着。	Tā méiyǒu fǒudìng tā de gǎnshòu, zhǐshì ānjìng de tīngzhe.	He did not dismiss her feelings; he simply listened quietly.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	36	Here, dismissing or invalidating feelings; not just saying no.	lingq.csv	31
适应	shìyìng	to adapt to; to get used to	她还没适应两个人的生活，买早餐时总忘了他的那份。	Tā hái méi shìyìng liǎng ge rén de shēnghuó, mǎi zǎocān shí zǒng wàng le tā de nà fèn.	She had not yet got used to living together and kept forgetting his breakfast when she bought her own.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	37	Adaptation to a changed way of living.	lingq.csv	30
彻底	chèdǐ	completely; thoroughly; thorough	听见他亲口说不喜欢她，她才彻底死了心。	Tīngjiàn tā qīnkǒu shuō bù xǐhuan tā, tā cái chèdǐ sǐ le xīn.	Only after hearing him say himself that he did not like her did she give up hope completely.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	38	A complete change or state; here it modifies giving up hope.	lingq.csv	38
相反	xiāngfǎn	on the contrary; opposite	他没有生气，相反，还笑着把伞往她那边移了移。	Tā méiyǒu shēngqì, xiāngfǎn, hái xiàozhe bǎ sǎn wǎng tā nàbiān yí le yí.	He was not angry. On the contrary, he smiled and moved the umbrella towards her.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	39	Discourse contrast, not merely physical opposite directions.	lingq.csv	39
总之	zǒngzhī	in short; all in all; to sum up	“总之，今天我送你回家。”他拿起了车钥匙。	“Zǒngzhī, jīntiān wǒ sòng nǐ huí jiā.” Tā náqǐ le chē yàoshi.	“Anyway, I'm taking you home today,” he said, picking up the car keys.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	40	Wraps up preceding discussion; often anyway or in short in dialogue.	lingq.csv	32
形容	xíngróng	to describe; to put into words	她不知道该怎么形容那种感觉：一见到他，心里就安静了。	Tā bù zhīdào gāi zěnme xíngróng nà zhǒng gǎnjué: yī jiàndào tā, xīn lǐ jiù ānjìng le.	She did not know how to describe the feeling: as soon as she saw him, she felt calm inside.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	41	Describing an impression or feeling, rather than defining a word.	lingq.csv	44
看待	kàndài	to view; to regard; to look at in a particular way	那次争吵以后，她开始用不同的眼光看待这段感情。	Nà cì zhēngchǎo yǐhòu, tā kāishǐ yòng bùtóng de yǎnguāng kàndài zhè duàn gǎnqíng.	After that argument, she began to view the relationship differently.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	42	Mental perspective or attitude; not just looking with the eyes.	lingq 2.csv	30
缓解	huǎnjiě	to ease; to alleviate; to relieve	她开了个玩笑，想缓解两人见面时的紧张。	Tā kāi le ge wánxiào, xiǎng huǎnjiě liǎng rén jiànmiàn shí de jǐnzhāng.	She made a joke, hoping to ease the tension when they met.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	43	Use with 紧张, 尴尬, 压力 or 疼痛, rather than blindly copying 缓解气氛.	lingq 2.csv	48
当作	dàngzuò	to regard as; to treat as; to take for	她把那句话当作玩笑，他却是认真的。	Tā bǎ nà jù huà dàngzuò wánxiào, tā què shì rènzhēn de.	She took those words as a joke, but he was serious.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	44	Learn 把 A 当作 B. Read dang as dàng.	lingq 2.csv	25
情景	qíngjǐng	scene; situation; what was happening	多年以后，她仍记得第一次见到他时的情景。	Duō nián yǐhòu, tā réng jìde dì yī cì jiàndào tā shí de qíngjǐng.	Years later, she still remembered the scene when she first met him.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	45	A remembered or observed situation; not scenery alone.	lingq.csv	50
魅力	mèilì	charm; personal appeal; attractiveness	他认真听人说话的样子，比那张脸更有魅力。	Tā rènzhēn tīng rén shuōhuà de yàngzi, bǐ nà zhāng liǎn gèng yǒu mèilì.	The way he listened carefully to people was more attractive than his face.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	46	Human charm or appeal here. Exclude witchcraft and similar distractor glosses from this note.	lingq.csv	6
规矩	guīju	rules; established conventions; proper behaviour	“进门要先敲门，这是规矩。”她挡在门口说。	“Jìnmén yào xiān qiāomén, zhè shì guīju.” Tā dǎng zài ménkǒu shuō.	“You have to knock before coming in. That's the rule,” she said, blocking the doorway.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	47	Everyday rules or boundaries, not only formal regulations.	lingq.csv	7
实现	shíxiàn	to realise; to achieve; to make come true	和他一起看海的愿望，终于在那个夏天实现了。	Hé tā yīqǐ kàn hǎi de yuànwàng, zhōngyú zài nàge xiàtiān shíxiàn le.	Her wish to see the sea with him finally came true that summer.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	48	A wish becomes reality. Distinguish English realise a wish from realise a fact.	lingq.csv	17
擅长	shàncháng	to be good at; to excel at	他不擅长说好听的话，却总能记住她喜欢吃什么。	Tā bù shàncháng shuō hǎotīng de huà, què zǒng néng jìzhù tā xǐhuan chī shénme.	He was not good at saying sweet things, but he always remembered what she liked to eat.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	49	Followed by an activity or skill.	lingq 2.csv	5
凌晨	língchén	the early hours of the morning; after midnight and before dawn	凌晨两点，她的手机亮了，屏幕上是他的名字。	Língchén liǎng diǎn, tā de shǒujī liàng le, píngmù shàng shì tā de míngzi.	At two in the morning, her phone lit up with his name on the screen.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	50	Here, 2 a.m.; distinguish from a vague early start after sunrise.	lingq 2.csv	6
频繁	pínfán	frequent; happening repeatedly at short intervals	他们最近联系得很频繁，却谁也没提见面的事。	Tāmen zuìjìn liánxì de hěn pínfán, què shéi yě méi tí jiànmiàn de shì.	They had been in frequent contact lately, but neither had brought up meeting.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	51	Describes high frequency; the example uses 联系得很频繁.	lingq 2.csv	33
议论	yìlùn	to discuss; to comment on; to talk about	同事们正在议论他们，她一进门，大家就安静了。	Tóngshìmen zhèngzài yìlùn tāmen, tā yī jìnmén, dàjiā jiù ānjìng le.	Their colleagues were talking about them, but everyone fell silent when she walked in.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	52	In this scene it suggests gossip; not all uses of 议论 are malicious gossip.	lingq 2.csv	38
被迫	bèipò	to be forced or compelled to	他被迫离开这座城市，走前只想再见她一面。	Tā bèipò líkāi zhè zuò chéngshì, zǒu qián zhǐ xiǎng zài jiàn tā yī miàn.	He was forced to leave the city and wanted only to see her once more before he left.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	53	Emphasises lack of choice.	lingq 2.csv	41
辞职	cízhí	to resign; to quit a job	她决定辞职以后，第一个想告诉的人就是他。	Tā juédìng cízhí yǐhòu, dì yī ge xiǎng gàosu de rén jiù shì tā.	After deciding to resign, he was the first person she wanted to tell.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	54	Resigning from a job, not being dismissed by an employer.	lingq 2.csv	27
报复	bàofù	to take revenge; to retaliate; revenge	她想让他也难过一次，后来又觉得这样报复没有意义。	Tā xiǎng ràng tā yě nánguò yī cì, hòulái yòu juéde zhèyàng bàofù méiyǒu yìyì.	She wanted him to feel hurt for once too, but later felt that taking revenge like this was pointless.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	55	Revenge as a motive; distinguish from 报答, repaying kindness.	lingq 2.csv	34
不但	bùdàn	not only	他不但记得她的生日，还记得她不喜欢太甜的蛋糕。	Tā bùdàn jìde tā de shēngrì, hái jìde tā bù xǐhuan tài tián de dàngāo.	He remembered not only her birthday but also that she did not like overly sweet cakes.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	56	Learn the complete frame 不但……还/而且…….	lingq.csv	14
费	fèi	to spend or take time, effort or money; a fee	为了准备这次约会，他费了不少时间。	Wèile zhǔnbèi zhè cì yuēhuì, tā fèi le bù shǎo shíjiān.	He spent quite a lot of time preparing for this date.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	57	Verb sense here: take or expend time. Do not use fermium or unrelated distractor meanings.	lingq.csv	22
招待	zhāodài	to receive or entertain guests; to host	他第一次来她家，她紧张得不知道该怎么招待他。	Tā dì yī cì lái tā jiā, tā jǐnzhāng de bù zhīdào gāi zěnme zhāodài tā.	It was his first visit to her home, and she was so nervous that she did not know how to look after him as a guest.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	58	Hospitality towards a guest; not entertainment as a performance.	lingq 2.csv	8
纠正	jiūzhèng	to correct; to put right	“是女朋友，不是同事。”他笑着纠正了我的说法。	“Shì nǚpéngyou, bù shì tóngshì.” Tā xiàozhe jiūzhèng le wǒ de shuōfǎ.	“She's my girlfriend, not my colleague,” he said with a smile, correcting me.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	59	Correcting a mistaken statement or label.	lingq 2.csv	49
