Frequency Rank	Word	Pronunciation	Meaning	Part of Speech	Example	Example Pronunciation	Example Meaning	Source	Source Rank	Labels	Notes
28	या	yā	or	conjunction	आप चाय या पानी लेंगे?	āp chāy yā pānī lenge?	Will you have tea or water?	Shabd 1.1; IIIT KCIS	IIIT tourism 133; IIIT health 20	function word; conjunction; beginner	Joins alternatives.
29	क्योंकि	kyõki	because	conjunction	मैं बाहर नहीं गया क्योंकि बारिश थी।	maĩ bāhar nahī̃ gayā kyõki bārish thī.	I didn't go out because it was raining.	Shabd 1.1; IIIT KCIS	IIIT health 95	function word; conjunction; reason	Introduces a reason clause.
30	अगर	agar	if	conjunction	अगर आप तैयार हैं, तो चलें।	agar āp taiyār haĩ, to chalẽ.	If you're ready, let's go.	Shabd 1.1; IIIT KCIS	Shabd 392; IIIT health 202	function word; conjunction; condition	Often pairs with तो in the result clause.
31	फिर	phir	then; again	adverb	हम खाना खाकर फिर चले।	ham khānā khākar phir chale.	Then we left after eating.	Shabd 1.1; IIIT KCIS	Shabd 221; IIIT health 119	adverb; sequence; beginner	Context distinguishes “then” from “again.”
32	बहुत	bahut	very; much; many	adverb	यह सवाल बहुत आसान है।	yeh savāl bahut āsān hai.	This question is very easy.	Shabd 1.1; IIIT KCIS	IIIT tourism 127; IIIT health 98	adverb; quantity; beginner	Can intensify an adjective or express a large amount.
33	अभी	abhī	now; right now	adverb	मैं अभी घर पर हूँ।	maĩ abhī ghar par hū̃.	I'm at home right now.	Shabd 1.1; IIIT KCIS	Shabd 226	adverb; time; beginner	Refers to the immediate present; context can also mean “just now.”
34	पहले	pahle	before; earlier; first	adverb	पहले हाथ धो लो।	pahle hāth dho lo.	Wash your hands first.	Shabd 1.1; IIIT KCIS	Shabd 73; IIIT health 73	adverb; time; sequence	Normal pronunciation deletes the written middle schwa: pahle.
35	बाद	bād	after; later	adverb	हम काम के बाद मिलेंगे।	ham kām ke bād milenge.	We'll meet after work.	Shabd 1.1; IIIT KCIS	Shabd 14; IIIT health 49	adverb; time; beginner	Commonly follows के in the phrase के बाद.
36	मैं	maĩ	I	pronoun	मैं हिंदी सीख रहा हूँ।	maĩ hindī sīkh rahā hū̃.	I'm learning Hindi.	Shabd 1.1; IIIT KCIS	Shabd 1224	pronoun; first person; beginner	The nasalized vowel distinguishes this form in pronunciation.
37	आप	āp	you, polite or plural	pronoun	आप कहाँ रहते हैं?	āp kahā̃ rahte haĩ?	Where do you live?	Shabd 1.1; IIIT KCIS	IIIT tourism 147	pronoun; second person; polite	Normally takes plural or honorific verb agreement.
38	हम	ham	we	pronoun	हम आज साथ खाना बनाएँगे।	ham āj sāth khānā banāẽge.	We'll cook together today.	Shabd 1.1; IIIT KCIS	IIIT tourism 1002	pronoun; first person; beginner	May also be used by an individual in some formal or regional contexts.
39	तुम	tum	you, familiar	pronoun	तुम कब घर आओगे?	tum kab ghar āoge?	When will you come home?	Shabd 1.1; IIIT KCIS	Shabd 6760	pronoun; second person; familiar	Less formal than आप and normally more respectful than तू.
40	वह	vo	that; he; she; it	pronoun	वह मेरा पुराना दोस्त है।	vo merā purānā dost hai.	He is my old friend.	Shabd 1.1; IIIT KCIS	IIIT health 188	pronoun; demonstrative; beginner	The ordinary spoken pronunciation is vo; context supplies gender.
41	वे	ve	those; they; respectful he or she	pronoun	वे सुबह जल्दी आते हैं।	ve subah jaldī āte haĩ.	They come early in the morning.	Shabd 1.1; IIIT KCIS	IIIT health 110	pronoun; demonstrative; plural	Also used respectfully for one person.
42	मेरे	mere	my; masculine plural or oblique possessive form	pronoun	मेरे जूते दरवाज़े के पास हैं।	mere jūte darvāze ke pās haĩ.	My shoes are near the door.	Shabd 1.1; IIIT KCIS	Shabd 1906	pronoun; possessive; beginner	Agrees with the possessed noun.
43	अपने	apne	one's own; possessive form	pronoun	अपने काम पर ध्यान दो।	apne kām par dhyān do.	Pay attention to your work.	Shabd 1.1; IIIT KCIS	Shabd 36	pronoun; reflexive possessive; beginner	Usually refers back to the subject; its ending agrees with the possessed noun.
44	क्या	kyā	what; yes-no question marker	question word	क्या आपको पानी चाहिए?	kyā āpko pānī chāhiye?	Do you need water?	Shabd 1.1; IIIT KCIS	Shabd 536	question word; function word; beginner	At the start of a sentence it often marks a yes-no question.
45	कौन	kaun	who	question word	बाहर कौन खड़ा है?	bāhar kaun khaṛā hai?	Who is standing outside?	Shabd 1.1; IIIT KCIS	Shabd 1778	question word; person; beginner	Changes to किस in many oblique constructions.
46	कहाँ	kahā̃	where	question word	बस कहाँ रुकती है?	bas kahā̃ ruktī hai?	Where does the bus stop?	Shabd 1.1; IIIT KCIS	Shabd 55559; IIIT tourism 4464	question word; place; beginner	The final vowel is nasalized.
47	कैसे	kaise	how; in what way	question word	आप यहाँ कैसे आए?	āp yahā̃ kaise āe?	How did you get here?	Shabd 1.1; IIIT KCIS	Shabd 1198; IIIT tourism 888	question word; manner; beginner	This form also agrees with masculine plural subjects in some uses.
48	क्यों	kyõ	why	question word	तुम आज चुप क्यों हो?	tum āj chup kyõ ho?	Why are you quiet today?	Shabd 1.1; IIIT KCIS	Shabd 1301	question word; reason; beginner	Pronounced with a nasalized vowel.
49	करना	karnā	to do; to make	verb	मुझे आज काम करना है।	mujhe āj kām karnā hai.	I have work to do today.	Shabd 1.1; IIIT KCIS	Shabd 163; IIIT health 166	verb; infinitive; beginner	Normal pronunciation deletes the written medial schwa: karnā.
50	किया	kiyā	did; made; masculine completed form of करना	verb form	उसने अपना काम पूरा किया।	usne apnā kām pūrā kiyā.	She completed her work.	Shabd 1.1; IIIT KCIS	Shabd 3; IIIT tourism 29	verb form; completed action; beginner	The verb agrees with an unmarked object in many ने clauses.
51	करने	karne	oblique infinitive of करना; to do; doing	verb form	मुझे घर साफ़ करने में मदद चाहिए।	mujhe ghar sāf karne mẽ madad chāhiye.	I need help cleaning the house.	Shabd 1.1; IIIT KCIS	Shabd 10; IIIT health 42	verb form; oblique infinitive; beginner	Used before postpositions and in several infinitive constructions.
52	गया	gayā	went; masculine singular completed form of जाना	verb form	वह सुबह बाज़ार गया।	vo subah bāzār gayā.	He went to the market in the morning.	Shabd 1.1; IIIT KCIS	Shabd 4; IIIT tourism 30	verb form; completed action; beginner	Also serves as an auxiliary in passive and completion constructions.
53	जाना	jānā	to go	verb	मुझे अब घर जाना है।	mujhe ab ghar jānā hai.	I have to go home now.	Shabd 1.1; IIIT KCIS	IIIT tourism 85; IIIT health 108	verb; infinitive; movement	A very common motion verb and auxiliary.
54	जाता	jātā	goes; habitual masculine form of जाना	verb form	वह रोज़ स्कूल जाता है।	vo roz skūl jātā hai.	He goes to school every day.	Shabd 1.1; IIIT KCIS	Shabd 165; IIIT tourism 25	verb form; habitual; movement	Agrees here with a masculine singular subject.
55	देना	denā	to give	verb	मुझे यह किताब वापस देना है।	mujhe yeh kitāb vāpas denā hai.	I have to return this book.	Shabd 1.1; IIIT KCIS	Shabd 860	verb; infinitive; beginner	Also combines with another verb to add a sense of doing something for or away from oneself.
56	दिया	diyā	gave; masculine completed form of देना	verb form	उसने मुझे सही पता दिया।	usne mujhe sahī patā diyā.	She gave me the correct address.	Shabd 1.1; IIIT KCIS	Shabd 9; IIIT health 63	verb form; completed action; beginner	Agreement follows normal perfective transitive patterns.
57	लेना	lenā	to take; to buy	verb	मुझे एक टिकट लेना है।	mujhe ek ṭikaṭ lenā hai.	I need to buy a ticket.	Shabd 1.1; IIIT KCIS	Shabd 1499	verb; infinitive; beginner	The sense “buy” is common when the object is something purchased.
58	लिया	liyā	took; bought; masculine completed form of लेना	verb form	मैंने आज नया फ़ोन लिया।	maine āj nayā fon liyā.	I bought a new phone today.	Shabd 1.1; IIIT KCIS	Shabd 34	verb form; completed action; beginner	Context distinguishes taking from buying.
59	कहना	kahnā	to say; to tell	verb	मुझे आपसे कुछ कहना है।	mujhe āpse kuchh kahnā hai.	I have something to tell you.	Shabd 1.1; IIIT KCIS	Shabd 158	verb; infinitive; communication	Normal pronunciation is kahnā, with no extra vowel after ह.
60	कहा	kahā	said	verb form	उसने धीरे से कहा, “बैठो।”	usne dhīre se kahā, “baiṭho.”	She said softly, “Sit.”	Shabd 1.1; IIIT KCIS	Shabd 11; IIIT tourism 106	verb form; completed action; communication	A common completed form of कहना.
61	देखना	dekhnā	to see; to watch	verb	हम आज नई फ़िल्म देखना चाहते हैं।	ham āj naī film dekhnā chāhte haĩ.	We want to see a new film today.	Shabd 1.1; IIIT KCIS	Shabd 4214	verb; infinitive; perception	Normal pronunciation deletes the written medial schwa: dekhnā.
62	देख	dekh	look; see, familiar imperative or verb stem	verb form	यह तस्वीर ध्यान से देख।	yeh tasvīr dhyān se dekh.	Look at this picture carefully.	Shabd 1.1; IIIT KCIS	Shabd 507	verb form; imperative; perception	A familiar singular command; use देखिए for a polite command.
63	आना	ānā	to come	verb	आपको कल जल्दी आना है।	āpko kal jaldī ānā hai.	You need to come early tomorrow.	Shabd 1.1; IIIT KCIS	Shabd 1650	verb; infinitive; movement	A basic motion verb.
64	आया	āyā	came; masculine singular completed form of आना	verb form	मेरा भाई कल घर आया।	merā bhāī kal ghar āyā.	My brother came home yesterday.	Shabd 1.1; IIIT KCIS	Shabd 386	verb form; completed action; movement	Agrees here with a masculine singular subject.
65	रहना	rahnā	to live; to stay; to remain	verb	मैं इस शहर में रहना चाहता हूँ।	maĩ is shahar mẽ rahnā chāhtā hū̃.	I want to live in this city.	Shabd 1.1; IIIT KCIS	Shabd 2159	verb; infinitive; state	Context distinguishes living somewhere from staying or remaining.
66	रहा	rahā	remaining or staying; masculine progressive participle	verb form	वह बाहर इंतज़ार कर रहा है।	vo bāhar intazār kar rahā hai.	He is waiting outside.	Shabd 1.1; IIIT KCIS	Shabd 17; IIIT tourism 118	verb form; progressive; auxiliary	With a preceding verb stem, marks an ongoing masculine singular action.
67	चाहिए	chāhiye	need; should; is wanted	auxiliary	मुझे थोड़ा समय चाहिए।	mujhe thoṛā samay chāhiye.	I need a little time.	Shabd 1.1; IIIT KCIS	Shabd 198; IIIT health 107	auxiliary; need; beginner	The person who needs something is commonly marked with को.
68	सकता	saktā	can; is able, masculine singular	auxiliary	वह यह काम कर सकता है।	vo yeh kām kar saktā hai.	He can do this work.	Shabd 1.1; IIIT KCIS	Shabd 287; IIIT tourism 78	auxiliary; ability; masculine form	Follows a verb stem and agrees with the subject.
69	होता	hotā	happens; is usually, masculine habitual	verb form	यहाँ रविवार को बाज़ार बंद होता है।	yahā̃ ravivār ko bāzār band hotā hai.	The market is closed here on Sundays.	Shabd 1.1; IIIT KCIS	Shabd 297; IIIT health 30	verb form; habitual; copula	Often describes a general or recurring state.
70	शुरू	shurū	beginning; started; start	adjective	कक्षा नौ बजे शुरू होती है।	kakshā nau baje shurū hotī hai.	Class starts at nine.	Shabd 1.1; IIIT KCIS	Shabd 56; IIIT health 184	adjective; event; beginner	Frequently combines with होना or करना.
71	काम	kām	work; task	noun	आज मेरे पास बहुत काम है।	āj mere pās bahut kām hai.	I have a lot of work today.	Shabd 1.1; IIIT KCIS	Shabd 107	everyday noun; work; beginner	Also appears in many expressions about usefulness or function.
72	मिल	mil	meet; get; be found	verb form	हम शाम को मिल सकते हैं।	ham shām ko mil sakte haĩ.	We can meet in the evening.	Shabd 1.1; IIIT KCIS	Shabd 212	verb form; social; beginner	The exact sense depends on the construction.
73	बनाना	banānā	to make; to prepare	verb	मुझे चाय बनाना आता है।	mujhe chāy banānā ātā hai.	I know how to make tea.	Shabd 1.1; IIIT KCIS	Shabd 2627	verb; infinitive; creation	Covers making, preparing, and causing something to become a state.
74	खाना	khānā	to eat; food	verb	बच्चे फल खाना पसंद करते हैं।	bachche phal khānā pasand karte haĩ.	Children like to eat fruit.	Shabd 1.1; IIIT KCIS	Shabd 1673	verb; infinitive; food	As a noun, खाना also means “food” or “meal.”
75	पीना	pīnā	to drink	verb	रोज़ साफ़ पानी पीना अच्छा है।	roz sāf pānī pīnā achchhā hai.	Drinking clean water every day is good.	Shabd 1.1; IIIT KCIS	Shabd 8924	verb; infinitive; food	A basic consumption verb.
76	अच्छा	achchhā	good; nice, masculine singular	adjective	आज मौसम अच्छा है।	āj mausam achchhā hai.	The weather is nice today.	Shabd 1.1; IIIT KCIS	Shabd 1753	adjective; evaluation; beginner	Changes to अच्छी or अच्छे to agree with gender and number.
77	बड़ा	baṛā	big; large, masculine singular	adjective	हमारा घर बहुत बड़ा नहीं है।	hamārā ghar bahut baṛā nahī̃ hai.	Our house isn't very big.	Shabd 1.1; IIIT KCIS	Shabd 6026	adjective; size; beginner	The letter ड़ is represented by ṛ in this pronunciation system.
78	छोटा	chhoṭā	small; little, masculine singular	adjective	यह बैग बहुत छोटा है।	yeh baig bahut chhoṭā hai.	This bag is very small.	Shabd 1.1; IIIT KCIS	Shabd 2602	adjective; size; beginner	Changes to छोटी or छोटे to agree with gender and number.
79	नया	nayā	new, masculine singular	adjective	मैंने नया फ़ोन खरीदा।	maine nayā fon kharīdā.	I bought a new phone.	Shabd 1.1; IIIT KCIS	Shabd 1114	adjective; description; beginner	Changes to नई or नए to agree with gender and number.
80	अधिक	adhik	more; greater	adjective	मुझे अधिक समय नहीं चाहिए।	mujhe adhik samay nahī̃ chāhiye.	I don't need more time.	Shabd 1.1; IIIT KCIS	Shabd 184	adjective; quantity; comparison	Common in neutral and formal registers; ज़्यादा is frequent in conversation.
81	कम	kam	less; few; low	adjective	आज दुकान में लोग कम हैं।	āj dukān mẽ log kam haĩ.	There are fewer people in the shop today.	Shabd 1.1; IIIT KCIS	IIIT health 37	adjective; quantity; comparison	Can modify an amount or describe a low degree.
82	सभी	sabhī	all; everyone	pronoun	सभी बच्चे बाहर खेल रहे हैं।	sabhī bachche bāhar khel rahe haĩ.	All the children are playing outside.	Shabd 1.1; IIIT KCIS	Shabd 42; IIIT health 102	pronoun; quantity; beginner	Can stand alone or modify a plural noun.
83	साथ	sāth	together; with; company	adverb	हम साथ घर जाएँगे।	ham sāth ghar jāẽge.	We'll go home together.	Shabd 1.1; IIIT KCIS	Shabd 16; IIIT tourism 71	adverb; social; beginner	With a noun or pronoun, often appears in the phrase के साथ.
84	यहाँ	yahā̃	here	adverb	यहाँ बैठना मना है।	yahā̃ baiṭhnā manā hai.	Sitting here is forbidden.	Shabd 1.1; IIIT KCIS	Shabd 12972; IIIT tourism 23	demonstrative; place; beginner	The final vowel is nasalized; the source corpora also contain the spelling यहां.
85	वहाँ	vahā̃	there	adverb	वहाँ एक छोटी दुकान है।	vahā̃ ek chhoṭī dukān hai.	There's a small shop there.	Shabd 1.1; IIIT KCIS	Shabd 19906; IIIT tourism 370	adverb; place; beginner	The final vowel is nasalized; the source corpora also contain the spelling वहां.
86	आज	āj	today	adverb	आज मेरा काम जल्दी खत्म हुआ।	āj merā kām jaldī khatm huā.	My work finished early today.	Shabd 1.1; IIIT KCIS	IIIT tourism 93	adverb; time; beginner	Refers to the current day.
87	कल	kal	yesterday; tomorrow	adverb	हम कल फिर मिलेंगे।	ham kal phir milenge.	We'll meet again tomorrow.	Shabd 1.1; IIIT KCIS	IIIT tourism 3225	adverb; time; beginner	Verb tense and context distinguish “yesterday” from “tomorrow.”
88	अब	ab	now	adverb	अब घर जाने का समय है।	ab ghar jāne kā samay hai.	It's time to go home now.	Shabd 1.1; IIIT KCIS	IIIT tourism 185; IIIT health 591	adverb; time; beginner	Contrasts the current situation with an earlier or later one.
89	लोग	log	people	noun	यहाँ लोग सुबह जल्दी उठते हैं।	yahā̃ log subah jaldī uṭhte haĩ.	People here get up early.	Shabd 1.1; IIIT KCIS	Shabd 53; IIIT tourism 95	everyday noun; people; beginner	The singular is व्यक्ति or आदमी depending on context; लोग is inherently plural in ordinary use.
90	दिन	din	day	noun	आज बहुत गर्म दिन है।	āj bahut garm din hai.	It's a very hot day today.	Shabd 1.1; IIIT KCIS	Shabd 48; IIIT tourism 209	everyday noun; time; beginner	Used for a calendar day or daytime.
91	समय	samay	time	noun	क्या आपके पास समय है?	kyā āpke pās samay hai?	Do you have time?	Shabd 1.1; IIIT KCIS	Shabd 66; IIIT tourism 83	everyday noun; time; beginner	Neutral word for time; वक्त is another common form.
92	बात	bāt	matter; thing said; conversation	noun	हमें इस बात पर सोचना चाहिए।	hamẽ is bāt par sochnā chāhiye.	We should think about this matter.	Shabd 1.1; IIIT KCIS	Shabd 98	everyday noun; communication; beginner	Its meaning ranges from a spoken remark to an issue or matter.
93	पानी	pānī	water	noun	मुझे ठंडा पानी चाहिए।	mujhe ṭhanḍā pānī chāhiye.	I want cold water.	Shabd 1.1; IIIT KCIS	Shabd 99; IIIT tourism 97	everyday noun; drink; beginner	An everyday mass noun.
94	घर	ghar	home; house	noun	मेरा घर स्कूल के पास है।	merā ghar skūl ke pās hai.	My home is near the school.	Shabd 1.1; IIIT KCIS	IIIT tourism 794; IIIT health 930	everyday noun; place; beginner	Can refer to the building or to home as a social place.
95	नाम	nām	name	noun	आपका नाम क्या है?	āpkā nām kyā hai?	What is your name?	Shabd 1.1; IIIT KCIS	Shabd 151; IIIT tourism 45	everyday noun; identity; beginner	Also appears in नाम का and नाम से expressions.
96	साल	sāl	year	noun	वह दस साल से यहाँ रहता है।	vo das sāl se yahā̃ rahtā hai.	He has lived here for ten years.	Shabd 1.1; IIIT KCIS	Shabd 224; IIIT tourism 197	everyday noun; time; beginner	Common conversational word for year; वर्ष is more formal.
97	बच्चा	bachchā	child; boy	noun	वह बच्चा बहुत धीरे बोलता है।	vo bachchā bahut dhīre boltā hai.	That child speaks very slowly.	Shabd 1.1; IIIT KCIS	Shabd 1965	everyday noun; person; beginner	Feminine बच्ची specifically means a girl.
98	आदमी	ādmī	man; person	noun	वह आदमी बस का इंतज़ार कर रहा है।	vo ādmī bas kā intazār kar rahā hai.	That man is waiting for the bus.	Shabd 1.1; IIIT KCIS	Shabd 1540	everyday noun; person; beginner	Can mean an adult male or, in some contexts, a person generally.
99	महिला	mahilā	woman	noun	वह महिला मेरी शिक्षिका हैं।	vo mahilā merī shikshikā haĩ.	That woman is my teacher.	Shabd 1.1; IIIT KCIS	Shabd 113	everyday noun; person; beginner	Often takes honorific plural agreement in respectful reference.
100	शहर	shahar	city; town	noun	यह शहर रात में शांत रहता है।	yeh shahar rāt mẽ shānt rahtā hai.	This city stays quiet at night.	Shabd 1.1; IIIT KCIS	Shabd 119; IIIT tourism 42	everyday noun; place; beginner	Ordinary pronunciation retains the middle h: shahar.
